run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
75;0.010401643;-5920;-4632;-2314;58;29
0;0.011455874;-6438;-5057;-273;130;65
25;0.011530465;-6340;-5928;-543;160;80
26;0.017004661;-5959;-3689;-2183;52;26
76;0.022079025;-5354;-5254;-5230;72;36
27;0.007300175;-5822;-5102;-2194;104;52
1;0.031791595;-6213;-3114;-824;76;38
28;0.006982112;-5831;-5008;-1637;76;38
77;0.012356725;-5585;-5443;-3735;100;50
50;0.048994865;-6288;-5732;-663;132;66
2;0.009782636;-6147;-4052;-1201;122;61
78;0.009486115;-6575;-1557;-65;92;46
3;0.005368136;-5783;-4267;-2572;60;30
79;0.009533947;-6359;-3466;-732;74;37
29;0.028867787;-6203;-3619;-755;96;48
80;0.00844348;-6283;-5594;-768;150;75
4;0.019546295;-5896;-4633;-2751;68;34
30;0.006864269;-6079;-5390;-871;104;52
81;0.007504933;-5291;-5060;-3574;80;40
51;0.033477478;-5854;-5475;-2512;82;41
31;0.007566746;-5781;-4538;-1855;116;58
5;0.008426888;-5902;-5662;-1774;84;42
52;0.019038872;-6417;-6624;-238;130;65
32;0.018881082;-5766;-5836;-2501;100;50
53;0.005698669;-6018;-4808;-1479;64;32
33;0.005566552;-6008;-4255;-2182;60;30
82;0.031159022;-6157;-5412;-733;112;56
6;0.025935099;-5725;-3984;-2702;48;24
54;0.01207441;-5827;-5075;-2557;66;33
83;0.008721941;-6266;-2710;-401;86;43
84;0.006724848;-6083;-5762;-1719;72;36
55;0.009564783;-5828;-5250;-3117;54;27
85;0.005273885;-5712;-4821;-2837;56;28
34;0.025256588;-6472;-6102;-182;218;109
7;0.023858943;-6399;-2992;-294;84;42
56;0.007752676;-5966;-5708;-1448;120;60
8;0.004622463;-3981;-3830;-6284;44;22
57;0.005419794;-4963;-4802;-4542;46;23
35;0.008101215;-6124;-4609;-783;166;83
86;0.015133984;-5849;-5535;-1614;94;47
9;0.008614268;-5038;-5032;-5335;86;43
36;0.006543041;-6096;-4302;-1744;74;37
87;0.006743289;-5764;-4260;-2925;98;49
10;0.006657605;-5854;-5190;-2330;84;42
58;0.014753167;-6526;-2763;-85;232;116
37;0.005914579;-4140;-4140;-6541;28;14
88;0.005816031;-6110;-5316;-2252;76;38
11;0.005634276;-5854;-5422;-2702;70;35
59;0.006660568;-5899;-5703;-3398;94;47
89;0.00594573;-5881;-5704;-2104;90;45
12;0.011729395;-6023;-4697;-1290;58;29
60;0.011567792;-4925;-4922;-5844;48;24
90;0.009619272;-5958;-4810;-1857;78;39
38;0.022727715;-5351;-5496;-4688;72;36
61;0.005790583;-5537;-5620;-3917;58;29
91;0.006791437;-6189;-4710;-1551;118;59
39;0.005592279;-5206;-5239;-3775;76;38
13;0.012113259;-5791;-5496;-3476;72;36
62;0.006683554;-6455;-3024;-314;76;38
92;0.005341488;-5896;-5460;-2407;60;30
14;0.006245681;-6313;-3565;-632;74;37
93;0.005728432;-5837;-4423;-2330;82;41
63;0.004770668;-5297;-4672;-4112;40;20
40;0.00973003;-5665;-5291;-2762;60;30
15;0.007143337;-6144;-5674;-1302;110;55
94;0.006482525;-6345;-2145;-658;78;39
64;0.005117843;-6041;-3112;-1352;44;22
65;0.012298908;-5935;-5287;-1230;76;38
16;0.015604881;-6151;-5947;-1046;90;45
95;0.015781247;-5958;-4443;-1417;98;49
41;0.0194408;-6226;-5954;-995;66;33
66;0.006261314;-5619;-5092;-2522;64;32
17;0.010223119;-6123;-5390;-1720;116;58
42;0.010492054;-6528;-3124;-120;198;99
67;0.007363581;-6387;-4731;-582;104;52
96;0.012565719;-6043;-4650;-1213;126;63
18;0.00567801;-5954;-3800;-2744;66;33
43;0.005647661;-5303;-4925;-3998;82;41
68;0.006470303;-6107;-5687;-1386;96;48
97;0.009019813;-6225;-4146;-1134;62;31
19;0.007331736;-5665;-5580;-2539;112;56
69;0.008711111;-6427;-5610;-246;128;64
98;0.013072457;-5975;-4171;-2227;80;40
70;0.009365958;-5522;-5687;-4354;76;38
44;0.020731094;-6424;-4486;-170;182;91
99;0.005309705;-5769;-5716;-2243;62;31
20;0.020365992;-5931;-3435;-1108;78;39
71;0.007289254;-6298;-6052;-742;106;53
21;0.006015158;-6128;-5250;-1584;90;45
73;0.009125995;-6233;-4911;-863;144;72
22;0.005887561;-4931;-4783;-4931;54;27
45;0.016223876;-6493;-6190;-460;140;70
72;0.012193481;-6180;-4702;-492;156;78
23;0.006299633;-5863;-5341;-2149;80;40
74;0.006907204;-5925;-4677;-1620;88;44
46;0.008969221;-6326;-5142;-488;128;64
49;0.00525628;-5002;-4856;-3635;74;37
48;0.019139293;-6054;-5974;-673;118;59
24;0.023284828;-5890;-4629;-1706;104;52
47;0.01687587;-6148;-6349;-1031;122;61
